,reviews,date,word_count,verified,corpus,sentiment,sentiment_type
10,"I am extremely disappointed with Kenya Airways. I have been waiting three months for a refund for my canceled flight, despite nearly 20 attempts to resolve this. As a frequent business class traveler, I expect better service. This experience has not met my expectations for the price. Avoid flying with Kenya Airways if you value timely customer service.",2024-10-24,62,True,trip verified i am extremely disappointed with kenya airways i have been waiting three months for a refund for my canceled flight despite nearly attempts to resolve this as a frequent business class traveler i expect better service this experience has not met my expectations for the price avoid flying with kenya airways if you value timely customer service,0.3197,positive
11,"Flew Nairobi Kigali 19/10 2024 on an Embraer E190. A last-minute ticket due to missed connection in Nairobi. KQ took well care of me in their lounge, purchase was untransparent and risky as booked through an OTA called eDreams. However, the KQ desk at the lounge managed to retrieve payment and issued the final ticket within 20 minutes of waiting. Luggage was confirmed retagged and being loaded. However, the original tags were neither replaced nor retagged. Obviously, as seen from my window onboard, several suitcases were unloaded due to a huge amount of cargo being loaded and given priority. Complete disrespect for travelers onboard. Eventually, the luggage got 2 days delayed from Nairobi, and was sent by courier to my address in Rwanda. Onboard, service was faultless, drinks provided as wanted and sandwiches were tasty. Selected my favorite seat without charges. Flight on time.",2024-10-23,148,True,trip verified flew nairobi kigali on an embraer e a last minute ticket due to missed connection in nairobi kq took well care of me in their lounge purchase was untransparent and risky as booked through an ota called edreams however the kq desk at the lounge managed to retrieve payment and issued the final ticket within minutes of waiting luggage was confirmed retagged and being loaded however the original tags were neither replaced nor retagged obviously as seen from my window onboard several suitcases were unloaded due to a huge amount of cargo being loaded and given priority complete disrespect for travelers onboard eventually the luggage got days delayed from nairobi and was sent by courier to my address in rwanda onboard service was faultless drinks provided as wanted and sandwiches were tasty selected my favorite seat without charges flight on time,0.8407,positive
12,I booked my flight from Mumbai to Harare via Nairobi. We have got confirmed tickets along with boarding pass from Nairobi to Harare but on reaching the counter me along with 10 other members their flight has been rescheduled to night flight with out any reason. From morning flight we have been shifted to late Evening. Now after 3 hours of argument airlines agreed for giving us hotel accommodation after their promise they started harassment in giving the hotel. And ground staff is very rude. .,2024-10-16,90,True,trip verified i booked my flight from mumbai to harare via nairobi we have got confirmed tickets along with boarding pass from nairobi to harare but on reaching the counter me along with other members their flight has been rescheduled to night flight with out any reason from morning flight we have been shifted to late evening now after hours of argument airlines agreed for giving us hotel accommodation after their promise they started harassment in giving the hotel and ground staff is very rude,-0.1128,negative
13,"I travel frequently between Nairobi and Johannesburg. Due to Kenya Airways' notoriously unreliable services (frequent delays, cancellations and last minute aircraft changes), I switched to using their much more reliable competitor on the route last year. However, due to my work schedule on my trip today, I was compelled to use KQ again and it was like I had never been away. My ticket for today's flight showed a Boeing 787 which was also the aircraft depicted when I checked in online the day before the flight. I selected and paid for an Economy Comfort seat. Upon checking in at the airport today, I received a boarding pass for said seat and proceeded to the boarding gate, where a B787 sat parked. However, 40 minutes before departure, the KQ staff at the gate announced that the aircraft was being swapped to a Boeing 737-800 and all passengers would have to line up again at the desk and be reseated. Cue complete bedlam as an unruly line formed with people jumping the queue and arguing with the belligerent KQ staff. Processing the passengers took ages and of course, I lost my Economy Comfort seat and was told to email KQ to obtain a refund. Note that this has happened to me twice before and I have yet to receive a refund for the previous occurrences. The flight departed over an hour late as a result. I will not fly KQ again if I can avoid it.",2024-10-08,249,True,trip verified i travel frequently between nairobi and johannesburg due to kenya airways notoriously unreliable services frequent delays cancellations and last minute aircraft changes i switched to using their much more reliable competitor on the route last year however due to my work schedule on my trip today i was compelled to use kq again and it was like i had never been away my ticket for today s flight showed a boeing which was also the aircraft depicted when i checked in online the day before the flight i selected and paid for an economy comfort seat upon checking in at the airport today i received a boarding pass for said seat and proceeded to the boarding gate where a b sat parked however minutes before departure the kq staff at the gate announced that the aircraft was being swapped to a boeing and all passengers would have to line up again at the desk and be reseated cue complete bedlam as an unruly line formed with people jumping the queue and arguing with the belligerent kq staff processing the passengers took ages and of course i lost my economy comfort seat and was told to email kq to obtain a refund note that this has happened to me twice before and i have yet to receive a refund for the previous occurrences the flight departed over an hour late as a result i will not fly kq again if i can avoid it,0.0516,positive
14,"My wife from Kigali to Dar es Salaam return in August. Some rescheduling was announced clearly weeks prior to flights so no issues. Apart from the first flight out of four there were no delays. The delay at departure just shortened the stop over time in Nairobi prior to flight number 2. Seat choice and special meal were selected at booking for all four legs. A comprehensive luggage allowance of 3 suitcases were given and all of them were well received in Kigali at arrival. She has Flying Blue Silver Status and got extra luggage inscribed in Dar at no costs. Ticket was very cheap, likely due to travelling around midnight. Got frequent flier miles and status points for the trip.",2024-09-11,125,True,trip verified my wife from kigali to dar es salaam return in august some rescheduling was announced clearly weeks prior to flights so no issues apart from the first flight out of four there were no delays the delay at departure just shortened the stop over time in nairobi prior to flight number seat choice and special meal were selected at booking for all four legs a comprehensive luggage allowance of suitcases were given and all of them were well received in kigali at arrival she has flying blue silver status and got extra luggage inscribed in dar at no costs ticket was very cheap likely due to travelling around midnight got frequent flier miles and status points for the trip,-0.5104,negative
15,"Flight was delayed. Then we stood freezing in the middle of the night in the winter waiting to board. Flight attendants are harried and brusque. Never sure I would actually arrive until we got there, given so many recent delays",2024-09-10,44,True,trip verified flight was delayed then we stood freezing in the middle of the night in the winter waiting to board flight attendants are harried and brusque never sure i would actually arrive until we got there given so many recent delays,-0.687,negative
16,"Travelled Paris to Joburg through Nairobi 23-24th August 2024 on B787 and B737, respectively. All flights on time. Checked in with breeze in CDG and went to the excellent lounge in Terminal 2E Hall K. The lounge is very good, despite becoming one of the oldest Skyteam lounges in Paris and is undergoing a soft rehabilitation. The food theme was turkey in various kinds of delicious dishes. Champagnes offered from a wandering trolley with special snacks. New beers and IPAs offered complementing the trivial Heineken. Evening/night flight. Boarding easy, welcome drinks provided, FAs were nice. I always sleep well in KQs B787s and lost my dinner dozing off and woke up only at 03 a.m. Then, I inquired successfully dine-on-demand, and got my preordered, hot seafood meal with a giant salmon starter. We also got breakfast prior to arrival in NBO. Got an amenity kit, though no pajama. Pride lounge in NBO is nice and convenient, spacious with good tarmac views. Had morning shower prior to my next flight to JNB which also left on time. That was a narrowbody without lie-flat seats, but the business class atmosphere was clearly felt throughout, apart from completely lack of flight entertainment. I had welcome champagne and ate and drank as I could and wanted to. Special meals were given; also, other meals were tried out and were deemed good, inclusive a beef dish from economy class. Luggage arrived in Johannesburg without any issues. Had to check it in again on another airline, Rwandair, to Kigali. I rarely have had any negative issues on Kenya Airways and do not recognize the many bad reviews? Catering onboard is generous though maybe not overly extravagant or divine. Crews are always fine, jolly, focused, responsive, and pleasurable. The airline may improve on ground services, communication, and ticket change ability. But once onboard, they are legacy. The trip was on a heavily promoted business class ticket, to which I gladly pay.",2024-08-25,328,True,trip verified travelled paris to joburg through nairobi th august on b and b respectively all flights on time checked in with breeze in cdg and went to the excellent lounge in terminal e hall k the lounge is very good despite becoming one of the oldest skyteam lounges in paris and is undergoing a soft rehabilitation the food theme was turkey in various kinds of delicious dishes champagnes offered from a wandering trolley with special snacks new beers and ipas offered complementing the trivial heineken evening night flight boarding easy welcome drinks provided fas were nice i always sleep well in kqs b s and lost my dinner dozing off and woke up only at a m then i inquired successfully dine on demand and got my preordered hot seafood meal with a giant salmon starter we also got breakfast prior to arrival in nbo got an amenity kit though no pajama pride lounge in nbo is nice and convenient spacious with good tarmac views had morning shower prior to my next flight to jnb which also left on time that was a narrowbody without lie flat seats but the business class atmosphere was clearly felt throughout apart from completely lack of flight entertainment i had welcome champagne and ate and drank as i could and wanted to special meals were given also other meals were tried out and were deemed good inclusive a beef dish from economy class luggage arrived in johannesburg without any issues had to check it in again on another airline rwandair to kigali i rarely have had any negative issues on kenya airways and do not recognize the many bad reviews catering onboard is generous though maybe not overly extravagant or divine crews are always fine jolly focused responsive and pleasurable the airline may improve on ground services communication and ticket change ability but once onboard they are legacy the trip was on a heavily promoted business class ticket to which i gladly pay,0.9965,positive
17,"The good: on board, crew friendly The bad: flight delays and cancellings Several hours before my flight from Daressalam to Nairobi I received an email, that the flight would be postponed by 1 hour, which would it make difficult to reach the next flight from Nairobi to Paris. While I was arriving at the airport KQ sent me another email, that my flight from Nairobi to Paris was cancelled. I went to the KQ counter and they told me that they don't have a solution but they would check me in anyways and once in Nairobi I should ask for a solution at the KQ service desk. I checked in and my luggage was checked though until the final destination (Munich). At this moment I already knew that my suitcases would get lost. In Nairobi KQ booked a flight for me at 6:30am from Nairobi to Paris, but they had no flight from Paris to Munich and told me to ask them in the morning before boarding. In the morning they provided me a flight at 8:30pm from Paris to Munich with Lufthansa, which I accepted since it was the only available option. Of course the flight to Paris was delayed by 1 hour and the boarding organisation was very chaotic. There was no separate queue for the biz passengers and I had to step over sitting other passengers or push them aside to board my biz seat. KQ and their partner AF were absolutely no help for me, because they just said go to terminal 1 to the Lufthansa counter to get your boarding pass. To reach terminal 1 I had to pass 3 security checks and on every check they asked for my boarding pass, which I didn't have - thanks to KQ and AF. It took me more than 2 hours to reach terminal 1. Fortunately the support of Lufthansa was fast and professional and they booked me for an earlier flight. Never again in my life I will fly Kenyan Airways.",2024-08-22,339,True,trip verified the good on board crew friendly the bad flight delays and cancellings several hours before my flight from daressalam to nairobi i received an email that the flight would be postponed by hour which would it make difficult to reach the next flight from nairobi to paris while i was arriving at the airport kq sent me another email that my flight from nairobi to paris was cancelled i went to the kq counter and they told me that they don t have a solution but they would check me in anyways and once in nairobi i should ask for a solution at the kq service desk i checked in and my luggage was checked though until the final destination munich at this moment i already knew that my suitcases would get lost in nairobi kq booked a flight for me at am from nairobi to paris but they had no flight from paris to munich and told me to ask them in the morning before boarding in the morning they provided me a flight at pm from paris to munich with lufthansa which i accepted since it was the only available option of course the flight to paris was delayed by hour and the boarding organisation was very chaotic there was no separate queue for the biz passengers and i had to step over sitting other passengers or push them aside to board my biz seat kq and their partner af were absolutely no help for me because they just said go to terminal to the lufthansa counter to get your boarding pass to reach terminal i had to pass security checks and on every check they asked for my boarding pass which i didn t have thanks to kq and af it took me more than hours to reach terminal fortunately the support of lufthansa was fast and professional and they booked me for an earlier flight never again in my life i will fly kenyan airways,-0.8935,negative
18,"I have never seen such a disaster. In the plane out of 7 only 1 screen worked. They overbooked our connecting flight in Nairobi. So without warning, without giving any explanation, without apologizing, we are forced to spend a night in Nairobi. So to get a visa. The visa application malfunctioned, we landed at 8:30 p.m. and had to leave for Madagascar at 10:30 p.m. As a result we left Nairobi airport for a hotel at 2am. All this without accompaniment without a bottle of water or anything. The hotel was so noisy that we didn't sleep a wink all night. We only leave the next day at 12:30 p.m. for an arrival in Antananarivo at 3:30 p.m. on August 3 instead of 1:30 a.m. on August 2. As a result, we paid for our hotel night in Antananarivo for nothing and we lost a day of vacation. An unforeseen event during a trip is part of the game, but deliberately overbooking and causing families to experience such inconvenience when the ticket costs €1,300 per person is simply shameful. There is no professionalism from the staff, no empathy, all this seems normal to them and once again the crazy thing is that in all these imposed steps you have to fend for yourself because no one tells you anything. We feel that there is no desire for customer service but just to make money. Better to pay a little more and not get cheated. This is simply dishonest. Never again from this company. | Je n’ai jamais vu une telle catastrophe. Dans l’avion sur 7 seulement 1 écran fonctionnait. Ils ont fait du surbooking sur notre vol de correspondance à Nairobi. Du coup sans prévenir, sans donner aucune explication, sans s’excuser on nous oblige à passer une nuit à Nairobi. Donc à faire un visa. L’application pour faire le visa dysfonctionait , nous avons atterri à 20h30, devions repartir pour Madagascar à 22h30. Résultat nous sommes partis de l’aéroport de Nairobi pour un hôtel à 2h du matin. Tout cela sans accompagnement sans une bouteille d’eau ni rien. L’hôtel était tellement bruyant que nous n’avons pas fermé l’œil de la nuit. Nous repartons seulement le lendemain à 12h30 pour une arrivée à Antananarivo à 15h30 le 3 août au lieu de 01h30 le 02 août. Résultat nous avons payé notre nuit d’hôtel à Antananarivo pour rien et nous avons perdu une journée de vacances. Un imprévu lors d’un voyage fait parti du jeu mais faire volontairement du surbooking et faire vivre de tels désagréments aux familles alors que le billet est à 1300€ par personne c’est tout simplement honteux. Il n’y a aucun professionnalisme du personnel, aucune empathie, tout cela leur semble normal et encore une fois le plus fou Ç est que dans toutes ces étapes imposées vous devez vous débrouiller seuls car personne ne vous dit rien. On sent bien qu’il n’y a aucune volonté de service client mais juste de faire de l’argent. Mieux vaut payer un peu plus cher et ne pas se faire avoir. C’est tout simplement malhonnête. Plus jamais cette compagnie.",2024-08-03,521,True,trip verified i have never seen such a disaster in the plane out of only screen worked they overbooked our connecting flight in nairobi so without warning without giving any explanation without apologizing we are forced to spend a night in nairobi so to get a visa the visa application malfunctioned we landed at p m and had to leave for madagascar at p m as a result we left nairobi airport for a hotel at am all this without accompaniment without a bottle of water or anything the hotel was so noisy that we didn t sleep a wink all night we only leave the next day at p m for an arrival in antananarivo at p m on august instead of a m on august as a result we paid for our hotel night in antananarivo for nothing and we lost a day of vacation an unforeseen event during a trip is part of the game but deliberately overbooking and causing families to experience such inconvenience when the ticket costs per person is simply shameful there is no professionalism from the staff no empathy all this seems normal to them and once again the crazy thing is that in all these imposed steps you have to fend for yourself because no one tells you anything we feel that there is no desire for customer service but just to make money better to pay a little more and not get cheated this is simply dishonest never again from this company je n ai jamais vu une telle catastrophe dans l avion sur seulement cran fonctionnait ils ont fait du surbooking sur notre vol de correspondance nairobi du coup sans pr venir sans donner aucune explication sans s excuser on nous oblige passer une nuit nairobi donc faire un visa l application pour faire le visa dysfonctionait nous avons atterri h devions repartir pour madagascar h r sultat nous sommes partis de l a roport de nairobi pour un h tel h du matin tout cela sans accompagnement sans une bouteille d eau ni rien l h tel tait tellement bruyant que nous n avons pas ferm l il de la nuit nous repartons seulement le lendemain h pour une arriv e antananarivo h le ao t au lieu de h le ao t r sultat nous avons pay notre nuit d h tel antananarivo pour rien et nous avons perdu une journ e de vacances un impr vu lors d un voyage fait parti du jeu mais faire volontairement du surbooking et faire vivre de tels d sagr ments aux familles alors que le billet est par personne c est tout simplement honteux il n y a aucun professionnalisme du personnel aucune empathie tout cela leur semble normal et encore une fois le plus fou est que dans toutes ces tapes impos es vous devez vous d brouiller seuls car personne ne vous dit rien on sent bien qu il n y a aucune volont de service client mais juste de faire de l argent mieux vaut payer un peu plus cher et ne pas se faire avoir c est tout simplement malhonn te plus jamais cette compagnie,-0.9801,negative
19,Not Verified |   Bumped off flight at boarding gate. Promised a hotel and monetary compensation. Delays of 20+mins at every step. No one can assist with promised compensation. Service desk to hotel desk to service desk to cashier's desk to service desk to boarding gate to service desk to boarding gate. Customer services call centre cannot help and refers you to Reservations. Reservations refer you to an email that bounces back. New flight delayed (consider that on 1 Aug) new planes were to be used on the route.,2024-08-02,88,False,not verified bumped off flight at boarding gate promised a hotel and monetary compensation delays of mins at every step no one can assist with promised compensation service desk to hotel desk to service desk to cashier s desk to service desk to boarding gate to service desk to boarding gate customer services call centre cannot help and refers you to reservations reservations refer you to an email that bounces back new flight delayed consider that on aug new planes were to be used on the route,-0.092,negative
20,"I am disappointment with the service provided during our family's check-in process on July 30,2024. Despite our anticipation, we encountered a lack of attentiveness from the staff, who appeared disengaged and unresponsive to our inquiries. The prolonged duration of one hour to complete the check-in for our family of seven significantly disrupted our travel plans. We expect a certain standard of professionalism and efficiency from Kenya Air, and unfortunately, our experience did not meet these expectations.",2024-07-30,80,True,trip verified i am disappointment with the service provided during our family s check in process on july despite our anticipation we encountered a lack of attentiveness from the staff who appeared disengaged and unresponsive to our inquiries the prolonged duration of one hour to complete the check in for our family of seven significantly disrupted our travel plans we expect a certain standard of professionalism and efficiency from kenya air and unfortunately our experience did not meet these expectations,-0.5713,negative
21,"This airline is becoming more and more unreliable. I have had multiple instances with either myself or our personnel where flights are cancelled or rebooked at last notice, with consequences for subsequent flights. There is no apology, and no restitution for any of the costs of the cancellations. Customer support is very slow to respond, and generally “there’s nothing they can do about it”. There is no consequence to the airline, and all the problems are offloaded onto their travelers. For us, we will look for any viable alternative to KQ for our company travel.",2024-07-25,99,True,trip verified this airline is becoming more and more unreliable i have had multiple instances with either myself or our personnel where flights are cancelled or rebooked at last notice with consequences for subsequent flights there is no apology and no restitution for any of the costs of the cancellations customer support is very slow to respond and generally there s nothing they can do about it there is no consequence to the airline and all the problems are offloaded onto their travelers for us we will look for any viable alternative to kq for our company travel,-0.7506,negative
